dataset,case_type,ambiguity_level,condition_group,count
omniglot_character_crops,calibration_worsened_or_unstable,0.0,fixed,570
omniglot_character_crops,calibration_worsened_or_unstable,0.0,uncertainty,11757
omniglot_character_crops,calibration_worsened_or_unstable,0.15,fixed,95
omniglot_character_crops,calibration_worsened_or_unstable,0.15,uncertainty,15792
omniglot_character_crops,calibration_worsened_or_unstable,0.3,fixed,32
omniglot_character_crops,calibration_worsened_or_unstable,0.3,uncertainty,14735
omniglot_character_crops,calibration_worsened_or_unstable,0.45,fixed,19
omniglot_character_crops,calibration_worsened_or_unstable,0.45,uncertainty,7001
omniglot_character_crops,overdiffuse_posterior,0.0,uncertainty_calibrated,12825
omniglot_character_crops,overdiffuse_posterior,0.0,uncertainty_heuristic,15840
omniglot_character_crops,overdiffuse_posterior,0.15,uncertainty_calibrated,8757
omniglot_character_crops,overdiffuse_posterior,0.15,uncertainty_heuristic,17856
omniglot_character_crops,overdiffuse_posterior,0.3,uncertainty_calibrated,6505
omniglot_character_crops,overdiffuse_posterior,0.3,uncertainty_heuristic,15241
omniglot_character_crops,overdiffuse_posterior,0.45,uncertainty_calibrated,4515
omniglot_character_crops,overdiffuse_posterior,0.45,uncertainty_heuristic,2379
omniglot_character_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_calibrated,4290
omniglot_character_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_heuristic,3336
omniglot_character_crops,top1_collapse_but_topk_rescue,0.15,uncertainty_calibrated,567
omniglot_character_crops,top1_collapse_but_topk_rescue,0.15,uncertainty_heuristic,378
omniglot_character_crops,top1_collapse_but_topk_rescue,0.3,uncertainty_calibrated,340
omniglot_character_crops,top1_collapse_but_topk_rescue,0.3,uncertainty_heuristic,220
omniglot_character_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_calibrated,236
omniglot_character_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_heuristic,183
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.0,calibrated_classifier,4290
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.0,cluster_distance,3336
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.15,calibrated_classifier,567
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.15,cluster_distance,378
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.3,calibrated_classifier,340
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.3,cluster_distance,220
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.45,calibrated_classifier,236
omniglot_character_crops,uncertainty_helped_symbols_not_downstream,0.45,cluster_distance,183
sklearn_digits_crops,calibration_worsened_or_unstable,0.0,fixed,30
sklearn_digits_crops,calibration_worsened_or_unstable,0.0,uncertainty,93
sklearn_digits_crops,calibration_worsened_or_unstable,0.15,fixed,401
sklearn_digits_crops,calibration_worsened_or_unstable,0.15,uncertainty,1190
sklearn_digits_crops,calibration_worsened_or_unstable,0.3,fixed,183
sklearn_digits_crops,calibration_worsened_or_unstable,0.3,uncertainty,1286
sklearn_digits_crops,calibration_worsened_or_unstable,0.45,fixed,77
sklearn_digits_crops,calibration_worsened_or_unstable,0.45,uncertainty,1316
sklearn_digits_crops,overdiffuse_posterior,0.0,uncertainty_calibrated,3
sklearn_digits_crops,overdiffuse_posterior,0.0,uncertainty_heuristic,135
sklearn_digits_crops,overdiffuse_posterior,0.15,uncertainty_calibrated,3
sklearn_digits_crops,overdiffuse_posterior,0.15,uncertainty_heuristic,840
sklearn_digits_crops,overdiffuse_posterior,0.3,uncertainty_heuristic,1128
sklearn_digits_crops,overdiffuse_posterior,0.45,uncertainty_heuristic,1254
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_calibrated,81
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_heuristic,174
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.15,uncertainty_calibrated,732
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.15,uncertainty_heuristic,798
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.3,uncertainty_calibrated,698
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.3,uncertainty_heuristic,964
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_calibrated,671
sklearn_digits_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_heuristic,890
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.0,calibrated_classifier,81
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.0,cluster_distance,174
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.15,calibrated_classifier,732
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.15,cluster_distance,798
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.3,calibrated_classifier,698
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.3,cluster_distance,964
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.45,calibrated_classifier,671
sklearn_digits_crops,uncertainty_helped_symbols_not_downstream,0.45,cluster_distance,890
kuzushiji49_balanced_crops,calibration_worsened_or_unstable,0.0,fixed,264
kuzushiji49_balanced_crops,calibration_worsened_or_unstable,0.0,uncertainty,3140
kuzushiji49_balanced_crops,calibration_worsened_or_unstable,0.45,fixed,790
kuzushiji49_balanced_crops,calibration_worsened_or_unstable,0.45,uncertainty,4296
kuzushiji49_balanced_crops,overdiffuse_posterior,0.0,uncertainty_calibrated,1534
kuzushiji49_balanced_crops,overdiffuse_posterior,0.0,uncertainty_heuristic,3716
kuzushiji49_balanced_crops,overdiffuse_posterior,0.45,uncertainty_calibrated,3030
kuzushiji49_balanced_crops,overdiffuse_posterior,0.45,uncertainty_heuristic,4142
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_calibrated,1626
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_heuristic,1758
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_calibrated,1846
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_heuristic,1967
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.0,calibrated_classifier,1626
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.0,cluster_distance,1758
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.45,calibrated_classifier,1846
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.45,cluster_distance,1967
