dataset_label,posterior_strategy,review_budget_k,operating_profile,shortlist_regret_to_best_profile,grouped_regret_to_best_profile,downstream_regret_to_best_profile,budgeted_recall_regret_to_best_profile,effort_adjusted_regret_to_best_profile,shortlist_gap_to_best_fixed,grouped_gap_to_best_fixed,downstream_gap_to_best_fixed,effort_adjusted_gap_to_best_fixed
historical_newspapers_real_downstream,calibrated_classifier,2,rescue_first,0.0,0.0,0.0,0.0,0.008796296296296191,-0.005555555555555536,-0.05555555555555547,-0.01388888888888884,-0.04107142857142854
historical_newspapers_real_downstream,calibrated_classifier,2,shortlist_first,0.011111111111111183,0.0,1.1102230246251565e-16,0.01388888888888884,0.0,-0.01666666666666672,-0.05555555555555547,-0.01388888888888895,-0.032275132275132346
historical_newspapers_real_downstream,calibrated_classifier,3,rescue_first,0.0,0.0,0.0,0.0,0.00802469135802475,-0.005555555555555536,-0.05555555555555547,-0.01388888888888884,-0.04107142857142854
historical_newspapers_real_downstream,calibrated_classifier,3,shortlist_first,0.011111111111111183,0.0,1.1102230246251565e-16,0.01388888888888884,0.0,-0.01666666666666672,-0.05555555555555547,-0.01388888888888895,-0.03304673721340379
historical_newspapers_real_downstream,calibrated_classifier,5,rescue_first,0.0,0.0,0.0,0.0,0.014197530864197616,-0.005555555555555536,-0.05555555555555547,-0.01388888888888884,-0.04107142857142854
historical_newspapers_real_downstream,calibrated_classifier,5,shortlist_first,0.011111111111111183,0.0,1.1102230246251565e-16,0.0,0.0,-0.01666666666666672,-0.05555555555555547,-0.01388888888888895,-0.02687389770723092
historical_newspapers_real_downstream,cluster_distance,2,rescue_first,0.09999999999999998,0.02777777777777779,0.18055555555555547,0.13888888888888895,0.292063492063492,-0.1527777777777778,-0.06944444444444442,-0.2222222222222222,-0.4031746031746032
historical_newspapers_real_downstream,cluster_distance,2,shortlist_first,0.0,0.0,0.0,0.0,0.0,-0.05277777777777781,-0.04166666666666663,-0.04166666666666674,-0.11111111111111116
historical_newspapers_real_downstream,cluster_distance,3,rescue_first,0.09999999999999998,0.02777777777777779,0.18055555555555547,0.08333333333333337,0.3257615840949174,-0.1527777777777778,-0.06944444444444442,-0.2222222222222222,-0.44613195446528775
historical_newspapers_real_downstream,cluster_distance,3,shortlist_first,0.0,0.0,0.0,0.0,0.0,-0.05277777777777781,-0.04166666666666663,-0.04166666666666674,-0.12037037037037035
historical_newspapers_real_downstream,cluster_distance,5,rescue_first,0.1069444444444444,0.04166666666666674,0.16666666666666663,0.04166666666666674,0.32475140600140606,-0.1416666666666666,-0.06944444444444442,-0.2222222222222222,-0.37772759647759646
historical_newspapers_real_downstream,cluster_distance,5,shortlist_first,0.0,0.0,0.0,0.0,0.0,-0.03472222222222221,-0.02777777777777768,-0.05555555555555558,-0.0529761904761904
historical_newspapers_real_grouped,calibrated_classifier,2,rescue_first,0.0,0.0,,0.0,0.008796296296296191,-0.005555555555555536,-0.05555555555555547,,-0.04107142857142854
historical_newspapers_real_grouped,calibrated_classifier,2,shortlist_first,0.011111111111111183,0.0,,0.01388888888888884,0.0,-0.01666666666666672,-0.05555555555555547,,-0.032275132275132346
historical_newspapers_real_grouped,calibrated_classifier,3,rescue_first,0.0,0.0,,0.0,0.00802469135802475,-0.005555555555555536,-0.05555555555555547,,-0.04107142857142854
historical_newspapers_real_grouped,calibrated_classifier,3,shortlist_first,0.011111111111111183,0.0,,0.01388888888888884,0.0,-0.01666666666666672,-0.05555555555555547,,-0.03304673721340379
historical_newspapers_real_grouped,calibrated_classifier,5,rescue_first,0.0,0.0,,0.0,0.014197530864197616,-0.005555555555555536,-0.05555555555555547,,-0.04107142857142854
historical_newspapers_real_grouped,calibrated_classifier,5,shortlist_first,0.011111111111111183,0.0,,0.0,0.0,-0.01666666666666672,-0.05555555555555547,,-0.02687389770723092
historical_newspapers_real_grouped,cluster_distance,2,rescue_first,0.13194444444444442,0.05555555555555558,,0.16666666666666663,0.38928571428571423,-0.14583333333333326,-0.06944444444444442,,-0.4101190476190476
historical_newspapers_real_grouped,cluster_distance,2,shortlist_first,0.0,0.0,,0.0,0.0,-0.01388888888888884,-0.01388888888888884,,-0.02083333333333337
historical_newspapers_real_grouped,cluster_distance,3,rescue_first,0.13194444444444442,0.05555555555555558,,0.125,0.4525930859264192,-0.14583333333333326,-0.06944444444444442,,-0.47574123407456737
historical_newspapers_real_grouped,cluster_distance,3,shortlist_first,0.0,0.0,,0.0,0.0,-0.01388888888888884,-0.01388888888888884,,-0.02314814814814814
historical_newspapers_real_grouped,cluster_distance,5,rescue_first,0.11805555555555558,0.04166666666666674,,0.04166666666666674,0.4265726954146072,-0.14583333333333326,-0.06944444444444442,,-0.46427110811301986
historical_newspapers_real_grouped,cluster_distance,5,shortlist_first,0.0,0.0,,0.0,0.0,-0.02777777777777768,-0.02777777777777768,,-0.037698412698412676
scadsai_real_downstream,calibrated_classifier,2,rescue_first,0.0,0.0,0.0,0.0,0.004298941798941774,0.002777777777777768,0.0,-0.04166666666666671,-0.09239417989417989
scadsai_real_downstream,calibrated_classifier,2,shortlist_first,0.008333333333333304,0.041666666666666685,0.0,0.0,0.0,-0.005555555555555536,-0.041666666666666685,-0.04166666666666671,-0.08809523809523812
scadsai_real_downstream,calibrated_classifier,3,rescue_first,0.0,0.0,0.0,0.0,0.010537918871252272,0.002777777777777768,0.0,-0.04166666666666671,-0.08762826679493352
scadsai_real_downstream,calibrated_classifier,3,shortlist_first,0.008333333333333304,0.041666666666666685,0.0,0.0,0.0,-0.005555555555555536,-0.041666666666666685,-0.04166666666666671,-0.07709034792368125
scadsai_real_downstream,calibrated_classifier,5,rescue_first,0.0,0.0,0.0,0.0,0.0012738804405471038,0.002777777777777768,0.0,-0.04166666666666671,-0.05588763088763091
scadsai_real_downstream,calibrated_classifier,5,shortlist_first,0.008333333333333304,0.041666666666666685,0.0,0.041666666666666685,0.0,-0.005555555555555536,-0.041666666666666685,-0.04166666666666671,-0.0546137504470838
scadsai_real_downstream,cluster_distance,2,rescue_first,0.027777777777777735,0.0,0.0,0.055555555555555525,0.06183862433862433,-0.005555555555555536,-0.02777777777777779,0.0,-0.07757936507936508
scadsai_real_downstream,cluster_distance,2,shortlist_first,0.0,0.041666666666666685,0.0,0.0,0.0,0.0222222222222222,-0.06944444444444448,0.0,-0.01574074074074075
scadsai_real_downstream,cluster_distance,3,rescue_first,0.027777777777777735,0.0,0.0,0.02777777777777779,0.07341269841269842,-0.005555555555555536,-0.02777777777777779,0.0,-0.09602072310405642
scadsai_real_downstream,cluster_distance,3,shortlist_first,0.0,0.041666666666666685,0.0,0.0,0.0,0.0222222222222222,-0.06944444444444448,0.0,-0.022608024691358003
scadsai_real_downstream,cluster_distance,5,rescue_first,0.0,0.0,0.0,0.0,0.11956569664902998,-0.005555555555555536,-0.02777777777777779,0.0,-0.13191137566137562
scadsai_real_downstream,cluster_distance,5,shortlist_first,0.001388888888888884,0.05555555555555558,0.041666666666666685,0.055555555555555525,0.0,-0.00694444444444442,-0.08333333333333337,-0.041666666666666685,-0.01234567901234565
scadsai_real_grouped,calibrated_classifier,2,rescue_first,0.0,0.0,,0.0,0.004298941798941774,0.002777777777777768,0.0,,-0.09239417989417989
scadsai_real_grouped,calibrated_classifier,2,shortlist_first,0.008333333333333304,0.041666666666666685,,0.0,0.0,-0.005555555555555536,-0.041666666666666685,,-0.08809523809523812
scadsai_real_grouped,calibrated_classifier,3,rescue_first,0.0,0.0,,0.0,0.010537918871252272,0.002777777777777768,0.0,,-0.08762826679493352
scadsai_real_grouped,calibrated_classifier,3,shortlist_first,0.008333333333333304,0.041666666666666685,,0.0,0.0,-0.005555555555555536,-0.041666666666666685,,-0.07709034792368125
scadsai_real_grouped,calibrated_classifier,5,rescue_first,0.0,0.0,,0.0,0.0012738804405471038,0.002777777777777768,0.0,,-0.05588763088763091
scadsai_real_grouped,calibrated_classifier,5,shortlist_first,0.008333333333333304,0.041666666666666685,,0.041666666666666685,0.0,-0.005555555555555536,-0.041666666666666685,,-0.0546137504470838
scadsai_real_grouped,cluster_distance,2,rescue_first,0.027777777777777735,0.0,,0.055555555555555525,0.06183862433862433,-0.005555555555555536,-0.02777777777777779,,-0.07757936507936508
scadsai_real_grouped,cluster_distance,2,shortlist_first,0.0,0.041666666666666685,,0.0,0.0,0.0222222222222222,-0.06944444444444448,,-0.01574074074074075
scadsai_real_grouped,cluster_distance,3,rescue_first,0.027777777777777735,0.0,,0.02777777777777779,0.07341269841269842,-0.005555555555555536,-0.02777777777777779,,-0.09602072310405642
scadsai_real_grouped,cluster_distance,3,shortlist_first,0.0,0.041666666666666685,,0.0,0.0,0.0222222222222222,-0.06944444444444448,,-0.022608024691358003
scadsai_real_grouped,cluster_distance,5,rescue_first,0.0,0.0,,0.0,0.11262125220458556,-0.005555555555555536,-0.02777777777777779,,-0.13191137566137562
scadsai_real_grouped,cluster_distance,5,shortlist_first,0.018055555555555547,0.08333333333333337,,0.08333333333333331,0.0,-0.023611111111111083,-0.11111111111111116,,-0.01929012345679007
